Ld,x,y
12.5,77.43260478,31.08761329
12.5,80.29670043,30.45317221
12.5,82.19205784,29.81873112
10.3,15.13852454,36.25377644
10.3,15.68607223,37.16012085
10.3,16.61269141,35.0755287
10.3,18.92923936,38.24773414
10.3,22.42512081,35.52870091
10.3,27.14245481,36.97885196
10.3,33.37607474,36.79758308
10.3,40.07300426,37.25075529
10.3,46.68569567,36.43504532
10.3,53.42474424,36.97885196
10.3,59.65836417,37.97583082
10.3,64.88112682,35.16616314
10.3,69.76693703,35.16616314
10.3,74.0630805,33.80664653
10.3,77.601081,33.081571
10.3,80.29670043,32.80966767
10.3,82.44477216,32.35649547
8.4,15.30700075,48.76132931
8.4,15.72819129,47.22054381
8.4,16.78116763,47.94561934
8.4,19.05559652,46.85800604
8.4,22.42512081,44.95468278
8.4,27.26881197,46.49546828
8.4,33.33395568,42.41691843
8.4,39.98876615,43.59516616
8.4,46.60145756,41.23867069
8.4,53.34050614,39.33534743
8.4,59.61624512,38.42900302
8.4,64.92324587,38.33836858
8.4,69.80905609,38.1570997
8.4,74.0630805,34.71299094
8.4,77.39048573,33.80664653
8.4,80.29670043,33.081571
8.4,82.48689121,31.35951662
7,16.23361993,64.98489426
7,15.98090561,62.80966767
7,16.94964384,61.17824773
7,18.97135841,62.35649547
7,22.46723986,58.18731118
7,27.26881197,54.19939577
7,33.54455095,51.29909366
7,39.9466471,48.48942598
7,46.68569567,47.12990937
7,53.34050614,44.59214502
7,59.61624512,42.59818731
7,64.92324587,41.14803625
7,69.80905609,39.24471299
7,74.1473186,37.0694864
7,77.601081,34.89425982
7,80.25458137,33.5347432
5.7,17.20235816,81.29909366
5.7,17.24447722,79.39577039
5.7,17.45507248,76.94864048
5.7,18.8028822,74.32024169
5.7,22.38300175,70.87613293
5.7,27.43728818,66.43504532
5.7,33.41819379,62.71903323
5.7,39.90452804,61.08761329
5.7,46.51721945,53.56495468
5.7,53.42474424,52.02416918
5.7,59.57412607,46.94864048
5.7,64.83900776,43.41389728
5.7,69.85117514,39.96978852
5.7,74.10519955,38.51963746
5.7,77.47472384,37.79456193
5.7,80.29670043,35.0755287
5.7,82.48689121,33.17220544
4.7,19.56102516,97.97583082
4.7,19.56102516,96.70694864
4.7,19.77162043,93.62537764
4.7,19.56102516,89.81873112
4.7,22.63571607,85.74018127
4.7,27.26881197,79.75830816
4.7,33.5024319,74.32024169
4.7,39.98876615,68.70090634
4.7,46.60145756,60.36253776
4.7,53.42474424,57.37160121
4.7,59.48988796,51.75226586
4.7,64.88112682,46.3141994
4.7,69.9775323,43.59516616
4.7,73.97884239,40.51359517
4.7,77.601081,39.87915408
4.7,80.29670043,38.6102719
4.7,82.40265311,35.0755287
3.9,22.50935891,109.305136
3.9,22.50935891,107.2205438
